#,Name,Primary Type,Secondary Type,Total,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Variant,Generation,Evolution Stage,Category,Pre-evolution,Egg Group 1,Egg Group 2,Height (m),Weight (kg),Gender,Catch Rate,Catch Rate (%),Hatch Time,Egg Obtainable,Smash/Pass
161,Sentret,Normal,,215,35,46,34,35,45,20,,2,1,Scout,,Field,,0.8,6.0,Both,255,43.9%,15 cycles,Yes,Pass
162,Furret,Normal,,415,85,76,64,45,55,90,,2,2,Long Body,Sentret,Field,,1.8,32.5,Both,90,20.1%,15 cycles,Yes,Pass
163,Hoothoot,Normal,Flying,262,60,30,30,36,56,50,,2,1,Owl,,Flying,,0.7,21.2,Both,255,43.9%,15 cycles,Yes,Pass
164,Noctowl,Normal,Flying,452,100,50,50,86,96,70,,2,2,Owl,Hoothoot,Flying,,1.6,40.8,Both,90,20.1%,15 cycles,Yes,Pass
165,Ledyba,Bug,Flying,265,40,20,30,40,80,55,,2,1,Five Star,,Bug,,1.0,10.8,Both,255,43.9%,15 cycles,Yes,Pass
166,Ledian,Bug,Flying,390,55,35,50,55,110,85,,2,2,Five Star,Ledyba,Bug,,1.4,35.6,Both,90,20.1%,15 cycles,Yes,Pass
167,Spinarak,Bug,Poison,250,40,60,40,40,40,30,,2,1,String Spit,,Bug,,0.5,8.5,Both,255,43.9%,15 cycles,Yes,Pass
168,Ariados,Bug,Poison,400,70,90,70,60,70,40,,2,2,Long Leg,Spinarak,Bug,,1.1,33.5,Both,90,20.1%,15 cycles,Yes,Pass
169,Crobat,Poison,Flying,535,85,90,80,70,80,130,,2,3,Bat,Golbat,Flying,,1.8,75.0,Both,90,20.1%,15 cycles,Yes,Pass
170,Chinchou,Water,Electric,330,75,38,38,56,56,67,,2,1,Angler,,Water 2,,0.5,12.0,Both,190,35.2%,20 cycles,Yes,Pass
171,Lanturn,Water,Electric,460,125,58,58,76,76,67,,2,2,Light,Chinchou,Water 2,,1.2,22.5,Both,75,17.5%,20 cycles,Yes,Pass
172,Pichu,Electric,,205,20,40,15,35,35,60,,2,1,Tiny Mouse,,No Eggs Discovered,,0.3,2.0,Both,190,35.2%,10 cycles,Yes,Pass
173,Cleffa,Fairy,,218,50,25,28,45,55,15,,2,1,Star Shape,,No Eggs Discovered,,0.3,3.0,Both,150,29.5%,10 cycles,Yes,Pass
174,Igglybuff,Normal,Fairy,210,90,30,15,40,20,15,,2,1,Balloon,,No Eggs Discovered,,0.3,1.0,Both,170,32.4%,10 cycles,Yes,Pass
175,Togepi,Fairy,,245,35,20,65,40,65,20,,2,1,Spike Ball,,No Eggs Discovered,,0.3,1.5,Both,190,35.2%,10 cycles,Yes,Pass
176,Togetic,Fairy,Flying,405,55,40,85,80,105,40,,2,2,Happiness,Togepi,Flying,Fairy,0.6,3.2,Both,75,17.5%,10 cycles,Yes,Pass
177,Natu,Psychic,Flying,320,40,50,45,70,45,70,,2,1,Tiny Bird,,Flying,,0.2,2.0,Both,190,35.2%,20 cycles,Yes,Pass
178,Xatu,Psychic,Flying,470,65,75,70,95,70,95,,2,2,Mystic,Natu,Flying,,1.5,15.0,Both,75,17.5%,20 cycles,Yes,Pass
179,Mareep,Electric,,280,55,40,40,65,45,35,,2,1,Wool,,Monster,Field,0.6,7.8,Both,235,41.3%,20 cycles,Yes,Pass
180,Flaaffy,Electric,,365,70,55,55,80,60,45,,2,2,Wool,Mareep,Monster,Field,0.8,13.3,Both,120,24.9%,20 cycles,Yes,Pass
181,Ampharos,Electric,Dragon,510,90,75,85,115,90,55,Mega Ampharos,2,3,Light,Flaaffy,Monster,Field,1.4,61.5,Both,45,11.9%,20 cycles,Yes,Pass
182,Bellossom,Grass,,490,75,80,95,90,100,50,,2,3,Flower,Gloom,Grass,,0.4,5.8,Both,45,11.9%,20 cycles,Yes,Pass
183,Marill,Water,Fairy,250,70,20,50,20,50,40,,2,2,Aqua Mouse,Azurill,Water 1,Fairy,0.4,8.5,Both,190,35.2%,10 cycles,Yes,Pass
184,Azumarill,Water,Fairy,420,100,50,80,60,80,50,,2,3,Aqua Rabbit,Marill,Water 1,Fairy,0.8,28.5,Both,75,17.5%,10 cycles,Yes,Pass
185,Sudowoodo,Rock,,410,70,100,115,30,65,30,,2,2,Imitation,Bonsly,Mineral,,1.2,38.0,Both,65,15.7%,20 cycles,Yes,Pass
186,Politoed,Water,,500,90,75,75,90,100,70,,2,3,Frog,Poliwhirl,Water 1,,1.1,33.9,Both,45,11.9%,20 cycles,Yes,Pass
187,Hoppip,Grass,Flying,250,35,35,40,35,55,50,,2,1,Cottonweed,,Fairy,Grass,0.4,0.5,Both,255,43.9%,20 cycles,Yes,Pass
188,Skiploom,Grass,Flying,340,55,45,50,45,65,80,,2,2,Cottonweed,Hoppip,Fairy,Grass,0.6,1.0,Both,120,24.9%,20 cycles,Yes,Pass
189,Jumpluff,Grass,Flying,460,75,55,70,55,95,110,,2,3,Cottonweed,Skiploom,Fairy,Grass,0.8,3.0,Both,45,11.9%,20 cycles,Yes,Pass
190,Aipom,Normal,,360,55,70,55,40,55,85,,2,1,Long Tail,,Field,,0.8,11.5,Both,45,11.9%,20 cycles,Yes,Pass
191,Sunkern,Grass,,180,30,30,30,30,30,30,,2,1,Seed,,Grass,,0.3,1.8,Both,235,41.3%,20 cycles,Yes,Pass
192,Sunflora,Grass,,425,75,75,55,105,85,30,,2,2,Sun,Sunkern,Grass,,0.8,8.5,Both,120,24.9%,20 cycles,Yes,Pass
193,Yanma,Bug,Flying,390,65,65,45,75,45,95,,2,1,Clear Wing,,Bug,,1.2,38.0,Both,75,17.5%,20 cycles,Yes,Pass
194,Wooper,Water,Ground,210,55,45,45,25,25,15,Paldean Wooper,2,1,Water Fish,,Water 1,Field,0.4,8.5,Both,255,43.9%,20 cycles,Yes,Pass
195,Quagsire,Water,Ground,430,95,85,85,65,65,35,,2,2,Water Fish,Wooper,Water 1,Field,1.4,75.0,Both,90,20.1%,20 cycles,Yes,Pass
196,Espeon,Psychic,,525,65,65,60,130,95,110,,2,2,Sun,Eevee,Field,,0.9,26.5,Both,45,11.9%,35 cycles,Yes,Pass
197,Umbreon,Dark,,525,95,65,110,60,130,65,,2,2,Moonlight,Eevee,Field,,1.0,27.0,Both,45,11.9%,35 cycles,Yes,Pass
198,Murkrow,Dark,Flying,405,60,85,42,85,42,91,,2,1,Darkness,,Flying,,0.5,2.1,Both,30,8.8%,20 cycles,Yes,Pass
199,Slowking,Water,Psychic,490,95,75,80,100,110,30,Galarian Slowking,2,2,Royal,Slowpoke,Monster,Water 1,2.0,79.5,Both,70,16.6%,20 cycles,Yes,Pass
200,Misdreavus,Ghost,,435,60,60,60,85,85,85,,2,1,Screech,,Amorphous,,0.7,1.0,Both,45,11.9%,25 cycles,Yes,Smash
201,Unown,Psychic,,336,48,72,48,72,48,48,,2,1,Symbol,,No Eggs Discovered,,0.5,5.0,Neither,225,39.9%,40 cycles,No,Pass
202,Wobbuffet,Psychic,,405,190,33,58,33,58,33,,2,2,Patient,Wynaut,Amorphous,,1.3,28.5,Both,45,11.9%,20 cycles,Yes,Pass
203,Girafarig,Normal,Psychic,455,70,80,65,90,65,85,,2,1,Long Neck,,Field,,1.5,41.5,Both,60,14.8%,20 cycles,Yes,Pass
204,Pineco,Bug,,290,50,65,90,35,35,15,,2,1,Bagworm,,Bug,,0.6,7.2,Both,190,35.2%,20 cycles,Yes,Pass
205,Forretress,Bug,Steel,465,75,90,140,60,60,40,,2,2,Bagworm,Pineco,Bug,,1.2,125.8,Both,75,17.5%,20 cycles,Yes,Pass
206,Dunsparce,Normal,,415,100,70,70,65,65,45,,2,1,Land Snake,,Field,,1.5,14.0,Both,190,35.2%,20 cycles,Yes,Pass
207,Gligar,Ground,Flying,430,65,75,105,35,65,85,,2,1,Fly Scorpion,,Bug,,1.1,64.8,Both,60,14.8%,20 cycles,Yes,Pass
208,Steelix,Steel,Ground,510,75,85,200,55,65,30,Mega Steelix,2,2,Iron Snake,Onix,Mineral,,9.2,400.0,Both,25,7.7%,25 cycles,Yes,Pass
209,Snubbull,Fairy,,300,60,80,50,40,40,30,,2,1,Fairy,,Field,Fairy,0.6,7.8,Both,190,35.2%,20 cycles,Yes,Pass
210,Granbull,Fairy,,450,90,120,75,60,60,45,,2,2,Fairy,Snubbull,Field,Fairy,1.4,48.7,Both,75,17.5%,20 cycles,Yes,Pass
211,Qwilfish,Water,Poison,440,65,95,85,55,55,85,Hisuian Qwilfish,2,1,Balloon,,Water 2,,0.5,3.9,Both,45,11.9%,20 cycles,Yes,Pass
212,Scizor,Bug,Steel,500,70,130,100,55,80,65,Mega Scizor,2,2,Pincer,Scyther,Bug,,1.8,118.0,Both,25,7.7%,25 cycles,Yes,Pass
213,Shuckle,Bug,Rock,505,20,10,230,10,230,5,,2,1,Mold,,Bug,,0.6,20.5,Both,190,35.2%,20 cycles,Yes,Pass
214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,Mega Heracross,2,1,Single Horn,,Bug,,1.5,54.0,Both,45,11.9%,25 cycles,Yes,Pass
215,Sneasel,Dark,Ice,430,55,95,55,35,75,115,Hisuian Sneasel,2,1,Sharp Claw,,Field,,0.9,28.0,Both,60,14.8%,20 cycles,Yes,Pass
216,Teddiursa,Normal,,330,60,80,50,50,50,40,,2,1,Little Bear,,Field,,0.6,8.8,Both,120,24.9%,20 cycles,Yes,Pass
217,Ursaring,Normal,,500,90,130,75,75,75,55,,2,2,Hibernator,Teddiursa,Field,,1.8,125.8,Both,60,14.8%,20 cycles,Yes,Pass
218,Slugma,Fire,,250,40,40,40,70,40,20,,2,1,Lava,,Amorphous,,0.7,35.0,Both,190,35.2%,20 cycles,Yes,Pass
219,Magcargo,Fire,Rock,430,60,50,120,90,80,30,,2,2,Lava,Slugma,Amorphous,,0.8,55.0,Both,75,17.5%,20 cycles,Yes,Pass
220,Swinub,Ice,Ground,250,50,50,40,30,30,50,,2,1,Pig,,Field,,0.4,6.5,Both,225,39.9%,20 cycles,Yes,Pass
221,Piloswine,Ice,Ground,450,100,100,80,60,60,50,,2,2,Swine,Swinub,Field,,1.1,55.8,Both,75,17.5%,20 cycles,Yes,Pass
222,Corsola,Water,Rock,410,65,55,95,65,95,35,Galarian Corsola,2,1,Coral,,Water 1,Water 3,0.6,5.0,Both,60,14.8%,20 cycles,Yes,Pass
223,Remoraid,Water,,300,35,65,35,65,35,65,,2,1,Jet,,Water 1,Water 2,0.6,12.0,Both,190,35.2%,20 cycles,Yes,Pass
224,Octillery,Water,,480,75,105,75,105,75,45,,2,2,Jet,Remoraid,Water 1,Water 2,0.9,28.5,Both,75,17.5%,20 cycles,Yes,Pass
225,Delibird,Ice,Flying,330,45,55,45,65,45,75,,2,1,Delivery,,Water 1,Field,0.9,16.0,Both,45,11.9%,20 cycles,Yes,Pass
226,Mantine,Water,Flying,485,85,40,70,80,140,70,,2,2,Kite,Mantyke,Water 1,,2.1,220.0,Both,25,7.7%,25 cycles,Yes,Pass
227,Skarmory,Steel,Flying,465,65,80,140,40,70,70,Mega Skarmory,2,1,Armor Bird,,Flying,,1.7,50.5,Both,25,7.7%,25 cycles,Yes,Pass
228,Houndour,Dark,Fire,330,45,60,30,80,50,65,,2,1,Dark,,Field,,0.6,10.8,Both,120,24.9%,20 cycles,Yes,Pass
229,Houndoom,Dark,Fire,500,75,90,50,110,80,95,Mega Houndoom,2,2,Dark,Houndour,Field,,1.4,35.0,Both,45,11.9%,20 cycles,Yes,Pass
230,Kingdra,Water,Dragon,540,75,95,95,95,95,85,,2,3,Dragon,Seadra,Water 1,Dragon,1.8,152.0,Both,45,11.9%,20 cycles,Yes,Pass
231,Phanpy,Ground,,330,90,60,60,40,40,40,,2,1,Long Nose,,Field,,0.5,33.5,Both,120,24.9%,20 cycles,Yes,Pass
232,Donphan,Ground,,500,90,120,120,60,60,50,,2,2,Armor,Phanpy,Field,,1.1,120.0,Both,60,14.8%,20 cycles,Yes,Pass
233,Porygon2,Normal,,515,85,80,90,105,95,60,,2,2,Virtual,Porygon,Mineral,,0.6,32.5,Neither,45,11.9%,20 cycles,Yes,Pass
234,Stantler,Normal,,465,73,95,62,85,65,85,,2,1,Big Horn,,Field,,1.4,71.2,Both,45,11.9%,20 cycles,Yes,Pass
235,Smeargle,Normal,,250,55,20,35,20,45,75,,2,1,Painter,,Field,,1.2,58.0,Both,45,11.9%,20 cycles,Yes,Pass
236,Tyrogue,Fighting,,210,35,35,35,35,35,35,,2,1,Scuffle,,No Eggs Discovered,,0.7,21.0,Male,75,17.5%,25 cycles,Yes,Pass
237,Hitmontop,Fighting,,455,50,95,95,35,110,70,,2,2,Handstand,Tyrogue,Human-Like,,1.4,48.0,Male,45,11.9%,25 cycles,Yes,Pass
238,Smoochum,Ice,Psychic,305,45,30,15,85,65,65,,2,1,Kiss,,No Eggs Discovered,,0.4,6.0,Female,45,11.9%,25 cycles,Yes,Pass
239,Elekid,Electric,,360,45,63,37,65,55,95,,2,1,Electric,,No Eggs Discovered,,0.6,23.5,Both,45,11.9%,25 cycles,Yes,Pass
240,Magby,Fire,,365,45,75,37,70,55,83,,2,1,Live Coal,,No Eggs Discovered,,0.7,21.4,Both,45,11.9%,25 cycles,Yes,Pass
241,Miltank,Normal,,490,95,80,105,40,70,100,,2,1,Milk Cow,,Field,,1.2,75.5,Female,45,11.9%,20 cycles,Yes,Pass
242,Blissey,Normal,Fairy,540,255,10,10,75,135,55,,2,3,Happiness,Chansey,Fairy,,1.5,46.8,Female,30,8.8%,40 cycles,Yes,Smash
243,Raikou,Electric,,580,90,85,75,115,100,115,,2,1,Thunder,,No Eggs Discovered,,1.9,178.0,Neither,3,1.6%,80 cycles,No,Pass
244,Entei,Fire,,580,115,115,85,90,75,100,,2,1,Volcano,,No Eggs Discovered,,2.1,198.0,Neither,3,1.6%,80 cycles,No,Pass
245,Suicune,Water,,580,100,75,115,90,115,85,,2,1,Aurora,,No Eggs Discovered,,2.0,187.0,Neither,3,1.6%,80 cycles,No,Pass
246,Larvitar,Rock,Ground,300,50,64,50,45,50,41,,2,1,Rock Skin,,Monster,,0.6,72.0,Both,45,11.9%,40 cycles,Yes,Pass
247,Pupitar,Rock,Ground,410,70,84,70,65,70,51,,2,2,Hard Shell,Larvitar,Monster,,1.2,152.0,Both,45,11.9%,40 cycles,Yes,Pass
248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,Mega Tyranitar,2,3,Armor,Pupitar,Monster,,2.0,202.0,Both,45,11.9%,40 cycles,Yes,Pass
249,Lugia,Psychic,Flying,680,106,90,130,90,154,110,,2,1,Diving,,No Eggs Discovered,,5.2,216.0,Neither,3,1.6%,120 cycles,No,Pass
250,Ho-Oh,Fire,Flying,680,106,130,90,110,154,90,,2,1,Rainbow,,No Eggs Discovered,,3.8,199.0,Neither,3,1.6%,120 cycles,No,Pass
251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,,2,1,Time Travel,,No Eggs Discovered,,0.6,5.0,Neither,45,11.9%,120 cycles,No,Pass
252,Treecko,Grass,Dragon,310,40,45,35,65,55,70,,3,1,Wood Gecko,,Monster,Dragon,0.5,5.0,Both,45,11.9%,20 cycles,Yes,Pass
253,Grovyle,Grass,Dragon,405,50,65,45,85,65,95,,3,2,Wood Gecko,Treecko,Monster,Dragon,0.9,21.6,Both,45,11.9%,20 cycles,Yes,Pass
254,Sceptile,Grass,Dragon,530,70,85,65,105,85,120,Mega Sceptile,3,3,Forest,Grovyle,Monster,Dragon,1.7,52.2,Both,45,11.9%,20 cycles,Yes,Pass
255,Torchic,Fire,,310,45,60,40,70,50,45,,3,1,Chick,,Field,,0.4,2.5,Both,45,11.9%,20 cycles,Yes,Pass
256,Combusken,Fire,Fighting,405,60,85,60,85,60,55,,3,2,Young Fowl,Torchic,Field,,0.9,19.5,Both,45,11.9%,20 cycles,Yes,Pass
257,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,Mega Blaziken,3,3,Blaze,Combusken,Field,,1.9,52.0,Both,45,11.9%,20 cycles,Yes,Smash
258,Mudkip,Water,,310,50,70,50,50,50,40,,3,1,Mud Fish,,Monster,Water 1,0.4,7.6,Both,45,11.9%,20 cycles,Yes,Pass
259,Marshtomp,Water,Ground,405,70,85,70,60,70,50,,3,2,Mud Fish,Mudkip,Monster,Water 1,0.7,28.0,Both,45,11.9%,20 cycles,Yes,Pass
260,Swampert,Water,Ground,535,100,110,90,85,90,60,Mega Swampert,3,3,Mud Fish,Marshtomp,Monster,Water 1,1.5,81.9,Both,45,11.9%,20 cycles,Yes,Pass
261,Poochyena,Dark,,220,35,55,35,30,30,35,,3,1,Bite,,Field,,0.5,13.6,Both,255,43.9%,15 cycles,Yes,Pass
262,Mightyena,Dark,,420,70,90,70,60,60,70,,3,2,Bite,Poochyena,Field,,1.0,37.0,Both,127,26%,15 cycles,Yes,Pass
263,Zigzagoon,Normal,Dark,240,38,30,41,30,41,60,Galarian Zigzagoon,3,1,Tiny Raccoon,,Field,,0.4,17.5,Both,255,43.9%,15 cycles,Yes,Pass
264,Linoone,Normal,Dark,420,78,70,61,50,61,100,Galarian Linoone,3,2,Rushing,Zigzagoon,Field,,0.5,32.5,Both,90,20.1%,15 cycles,Yes,Pass
265,Wurmple,Bug,,195,45,45,35,20,30,20,,3,1,Worm,,Bug,,0.3,3.6,Both,255,43.9%,15 cycles,Yes,Pass
266,Silcoon,Bug,,205,50,35,55,25,25,15,,3,2,Cocoon,Wurmple,Bug,,0.6,10.0,Both,120,24.9%,15 cycles,Yes,Pass
267,Beautifly,Bug,Flying,395,60,70,50,100,50,65,,3,3,Butterfly,Silcoon,Bug,,1.0,28.4,Both,45,11.9%,15 cycles,Yes,Pass
268,Cascoon,Bug,,205,50,35,55,25,25,15,,3,2,Cocoon,Wurmple,Bug,,0.7,11.5,Both,120,24.9%,15 cycles,Yes,Pass
269,Dustox,Bug,Poison,385,60,50,70,50,90,65,,3,3,Poison Moth,Cascoon,Bug,,1.2,31.6,Both,45,11.9%,15 cycles,Yes,Pass
270,Lotad,Water,Grass,220,40,30,30,40,50,30,,3,1,Water Weed,,Water 1,Grass,0.5,2.6,Both,255,43.9%,15 cycles,Yes,Pass
271,Lombre,Water,Grass,340,60,50,50,60,70,50,,3,2,Jolly,Lotad,Water 1,Grass,1.2,32.5,Both,120,24.9%,15 cycles,Yes,Pass
272,Ludicolo,Water,Grass,480,80,70,70,90,100,70,,3,3,Carefree,Lombre,Water 1,Grass,1.5,55.0,Both,45,11.9%,15 cycles,Yes,Pass
273,Seedot,Grass,,220,40,40,50,30,30,30,,3,1,Acorn,,Field,Grass,0.5,4.0,Both,255,43.9%,15 cycles,Yes,Pass
274,Nuzleaf,Grass,Dark,340,70,70,40,60,40,60,,3,2,Wily,Seedot,Field,Grass,1.0,28.0,Both,120,24.9%,15 cycles,Yes,Pass
275,Shiftry,Grass,Dark,480,90,100,60,90,60,80,,3,3,Wicked,Nuzleaf,Field,Grass,1.3,59.6,Both,45,11.9%,15 cycles,Yes,Pass
276,Taillow,Normal,Flying,270,40,55,30,30,30,85,,3,1,Tiny Swallow,,Flying,,0.3,2.3,Both,200,36.6%,15 cycles,Yes,Pass
277,Swellow,Normal,Flying,455,60,85,60,75,50,125,,3,2,Swallow,Taillow,Flying,,0.7,19.8,Both,45,11.9%,15 cycles,Yes,Pass
278,Wingull,Water,Flying,270,40,30,30,55,30,85,,3,1,Seagull,,Water 1,Flying,0.6,9.5,Both,190,35.2%,20 cycles,Yes,Pass
279,Pelipper,Water,Flying,440,60,50,100,95,70,65,,3,2,Water Bird,Wingull,Water 1,Flying,1.2,28.0,Both,45,11.9%,20 cycles,Yes,Pass
280,Ralts,Psychic,Fairy,198,28,25,25,45,35,40,,3,1,Feeling,,Human-Like,Amorphous,0.4,6.6,Both,235,41.3%,20 cycles,Yes,Pass
281,Kirlia,Psychic,Fairy,278,38,35,35,65,55,50,,3,2,Emotion,Ralts,Human-Like,Amorphous,0.8,20.2,Both,120,24.9%,20 cycles,Yes,Pass
282,Gardevoir,Psychic,Fairy,518,68,65,65,125,115,80,Mega Gardevoir,3,3,Embrace,Kirlia,Human-Like,Amorphous,1.6,48.4,Both,45,11.9%,20 cycles,Yes,Smash
283,Surskit,Bug,Water,269,40,30,32,50,52,65,,3,1,Pond Skater,,Water 1,Bug,0.5,1.7,Both,200,36.6%,15 cycles,Yes,Pass
284,Masquerain,Bug,Flying,454,70,60,62,100,82,80,,3,2,Eyeball,Surskit,Water 1,Bug,0.8,3.6,Both,75,17.5%,15 cycles,Yes,Pass
285,Shroomish,Grass,Fairy,295,60,40,60,40,60,35,,3,1,Mushroom,,Fairy,Grass,0.4,4.5,Both,255,43.9%,15 cycles,Yes,Pass
286,Breloom,Grass,Fighting,460,60,130,80,60,60,70,,3,2,Mushroom,Shroomish,Fairy,Grass,1.2,39.2,Both,90,20.1%,15 cycles,Yes,Pass
287,Slakoth,Normal,,280,60,60,60,35,35,30,,3,1,Slacker,,Field,,0.8,24.0,Both,255,43.9%,15 cycles,Yes,Pass
288,Vigoroth,Normal,,440,80,80,80,55,55,90,,3,2,Wild Monkey,Slakoth,Field,,1.4,46.5,Both,120,24.9%,15 cycles,Yes,Pass
289,Slaking,Normal,,670,150,160,100,95,65,100,,3,3,Lazy,Vigoroth,Field,,2.0,130.5,Both,45,11.9%,15 cycles,Yes,Pass
290,Nincada,Bug,Ground,266,31,45,90,30,30,40,,3,1,Trainee,,Bug,,0.5,5.5,Both,255,43.9%,15 cycles,Yes,Pass
291,Ninjask,Bug,Flying,456,61,90,45,50,50,160,,3,2,Ninja,Nincada,Bug,,0.8,12.0,Both,120,24.9%,15 cycles,Yes,Pass
292,Shedinja,Bug,Ghost,236,1,90,45,30,30,40,,3,1,Shed,,Mineral,,0.8,1.2,Neither,45,11.9%,15 cycles,Yes,Pass
293,Whismur,Normal,,240,64,51,23,51,23,28,,3,1,Whisper,,Monster,Field,0.6,16.3,Both,190,35.2%,20 cycles,Yes,Pass
294,Loudred,Normal,,360,84,71,43,71,43,48,,3,2,Big Voice,Whismur,Monster,Field,1.0,40.5,Both,120,24.9%,20 cycles,Yes,Pass
295,Exploud,Normal,,490,104,91,63,91,73,68,,3,3,Loud Noise,Loudred,Monster,Field,1.5,84.0,Both,45,11.9%,20 cycles,Yes,Pass
296,Makuhita,Fighting,,237,72,60,30,20,30,25,,3,1,Guts,,Human-Like,,1.0,86.4,Both,180,33.8%,20 cycles,Yes,Pass
297,Hariyama,Fighting,,474,144,120,60,40,60,50,,3,2,Arm Thrust,Makuhita,Human-Like,,2.3,253.8,Both,200,36.6%,20 cycles,Yes,Pass
298,Azurill,Normal,Fairy,190,50,20,40,20,40,20,,3,1,Polka Dot,,No Eggs Discovered,,0.2,2.0,Both,150,29.5%,10 cycles,Yes,Pass
299,Nosepass,Rock,,375,30,45,135,45,90,30,,3,1,Compass,,Mineral,,1.0,97.0,Both,255,43.9%,20 cycles,Yes,Pass
300,Skitty,Normal,Fairy,260,50,45,45,35,35,50,,3,1,Kitten,,Field,Fairy,0.6,11.0,Both,255,43.9%,15 cycles,Yes,Pass
301,Delcatty,Normal,Fairy,400,70,65,65,55,55,90,,3,2,Prim,Skitty,Field,Fairy,1.1,32.6,Both,60,14.8%,15 cycles,Yes,Pass
302,Sableye,Dark,Ghost,380,50,75,75,65,65,50,Mega Sableye,3,1,Darkness,,Human-Like,,0.5,11.0,Both,45,11.9%,25 cycles,Yes,Pass
303,Mawile,Steel,Fairy,380,50,85,85,55,55,50,Mega Mawile,3,1,Deceiver,,Field,Fairy,0.6,11.5,Both,45,11.9%,20 cycles,Yes,Pass
304,Aron,Steel,Rock,330,50,70,100,40,40,30,,3,1,Iron Armor,,Monster,,0.4,60.0,Both,180,33.8%,35 cycles,Yes,Pass
305,Lairon,Steel,Rock,430,60,90,140,50,50,40,,3,2,Iron Armor,Aron,Monster,,0.9,120.0,Both,90,20.1%,35 cycles,Yes,Pass
306,Aggron,Steel,Rock,530,70,110,180,60,60,50,Mega Aggron,3,3,Iron Armor,Lairon,Monster,,2.1,360.0,Both,45,11.9%,35 cycles,Yes,Pass
307,Meditite,Fighting,Psychic,280,30,40,55,40,55,60,,3,1,Meditate,,Human-Like,,0.6,11.2,Both,180,33.8%,20 cycles,Yes,Pass
308,Medicham,Fighting,Psychic,410,60,60,75,60,75,80,Mega Medicham,3,2,Meditate,Meditite,Human-Like,,1.3,31.5,Both,90,20.1%,20 cycles,Yes,Pass
309,Electrike,Electric,,295,40,45,40,65,40,65,,3,1,Lightning,,Field,,0.6,15.2,Both,120,24.9%,20 cycles,Yes,Pass
310,Manectric,Electric,,475,70,75,60,105,60,105,Mega Manectric,3,2,Discharge,Electrike,Field,,1.5,40.2,Both,45,11.9%,20 cycles,Yes,Pass
311,Plusle,Electric,Fairy,405,60,50,40,85,75,95,,3,1,Cheering,,Fairy,,0.4,4.2,Both,200,36.6%,20 cycles,Yes,Pass
312,Minun,Electric,Fairy,405,60,40,50,75,85,95,,3,1,Cheering,,Fairy,,0.4,4.2,Both,200,36.6%,20 cycles,Yes,Pass
313,Volbeat,Bug,,430,65,73,75,47,85,85,,3,1,Firefly,,Bug,Human-Like,0.7,17.7,Male,150,29.5%,15 cycles,Yes,Pass
314,Illumise,Bug,,430,65,47,75,73,85,85,,3,1,Firefly,,Bug,Human-Like,0.6,17.7,Female,150,29.5%,15 cycles,Yes,Pass
315,Roselia,Grass,Poison,400,50,60,45,100,80,65,,3,2,Thorn,Budew,Fairy,Grass,0.3,2.0,Both,150,29.5%,20 cycles,Yes,Pass
316,Gulpin,Poison,,302,70,43,53,43,53,40,,3,1,Stomach,,Amorphous,,0.4,10.3,Both,225,39.9%,20 cycles,Yes,Pass
317,Swalot,Poison,,467,100,73,83,73,83,55,,3,2,Poison Bag,Gulpin,Amorphous,,1.7,80.0,Both,75,17.5%,20 cycles,Yes,Pass
318,Carvanha,Water,Dark,305,45,90,20,65,20,65,,3,1,Savage,,Water 2,,0.8,20.8,Both,225,39.9%,20 cycles,Yes,Pass
319,Sharpedo,Water,Dark,460,70,120,40,95,40,95,Mega Sharpedo,3,2,Brutal,Carvanha,Water 2,,1.8,88.8,Both,60,14.8%,20 cycles,Yes,Pass
320,Wailmer,Water,,400,130,70,35,70,35,60,,3,1,Ball Whale,,Field,Water 2,2.0,130.0,Both,125,25.7%,40 cycles,Yes,Pass
321,Wailord,Water,,500,170,90,45,90,45,60,,3,2,Float Whale,Wailmer,Field,Water 2,14.5,398.0,Both,60,14.8%,40 cycles,Yes,Smash
322,Numel,Fire,Ground,305,60,60,40,65,45,35,,3,1,Numb,,Field,,0.7,24.0,Both,255,43.9%,20 cycles,Yes,Pass
323,Camerupt,Fire,Ground,460,70,100,70,105,75,40,Mega Camerupt,3,2,Eruption,Numel,Field,,1.9,220.0,Both,150,29.5%,20 cycles,Yes,Pass
324,Torkoal,Fire,,470,70,85,140,85,70,20,,3,1,Coal,,Field,,0.5,80.4,Both,90,20.1%,20 cycles,Yes,Pass
325,Spoink,Psychic,,330,60,25,35,70,80,60,,3,1,Bounce,,Field,,0.7,30.6,Both,255,43.9%,20 cycles,Yes,Pass
326,Grumpig,Psychic,,470,80,45,65,90,110,80,,3,2,Manipulate,Spoink,Field,,0.9,71.5,Both,60,14.8%,20 cycles,Yes,Pass
327,Spinda,Normal,,360,60,60,60,60,60,60,,3,1,Spot Panda,,Field,Human-Like,1.1,5.0,Both,255,43.9%,15 cycles,Yes,Pass
328,Trapinch,Ground,Bug,290,45,100,45,45,45,10,,3,1,Ant Pit,,Bug,Dragon,0.7,15.0,Both,255,43.9%,20 cycles,Yes,Pass
